,PLAYER NAME,Avg Fairs Hit
0,Aaron Baddeley,0.5516717971321824
1,Aaron Wise,0.6126250249570202
2,Abraham Ancer,0.6695255157354099
3,Adam Hadwin,0.6473157613063337
4,Adam Long,0.6546312106948443
5,Adam Schenk,0.6052802552975727
6,Adam Scott,0.5800802309503129
7,Adam Svensson,0.6524064171122995
8,Alex Cejka,0.6610958277757197
9,Alex Noren,0.601201874052288
10,Alex Prugh,0.6305270776304515
11,Anders Albertson,0.6011173184357542
12,Andres Gonzales,0.561195237006527
13,Andres Romero,0.5266594124047879
14,Andrew Landry,0.6652976908344387
15,Andrew Loupe,0.4574488686888647
16,Andrew Putnam,0.5893285982976696
17,Andrew Svoboda,0.5932047750229569
18,Andrew Yun,0.5357710651828299
19,Anirban Lahiri,0.5910091108306514
20,Arjun Atwal,0.6651270207852193
21,Austin Cook,0.6730720536942731
22,Beau Hossler,0.574579166452086
23,Ben Crane,0.6653821064181272
24,Ben Martin,0.6428385348457736
25,Ben Silverman,0.6676233878349984
26,Ben Taylor,0.5546081771720613
27,Bill Haas,0.6026295090912198
28,Bill Lunde,0.6359375
29,Billy Horschel,0.6365014096482727
30,Billy Hurley III,0.6277004871816979
31,Blayne Barber,0.6309359662866918
32,Bo Hoag,0.6355064271510429
33,Bo Van Pelt,0.6031330854149112
34,Boo Weekley,0.6730738418669454
35,Brad Fritsch,0.5639614855570839
36,Brady Schnell,0.6746143057503506
37,Branden Grace,0.5758147890881045
38,Brandon Hagy,0.5141553960036166
39,Brandon Harkins,0.5587143946711444
40,Brandt Snedeker,0.6218299884724094
41,Brendan Steele,0.6219739611428114
42,Brendon Todd,0.6871611188417304
43,Brendon de Jonge,0.6244109720309037
44,Brett Drewitt,0.6072874493927125
45,Brett Stegmaier,0.6132214516711805
46,Brian Campbell,0.5820476858345021
47,Brian Davis,0.6765994741454864
48,Brian Gay,0.6507670368166201
49,Brian Harman,0.6515060090645698
50,Brian Stuard,0.7134202935785778
51,Brice Garnett,0.6644783041443567
52,Bronson Burgoon,0.6157400591763313
53,Brooks Koepka,0.5725533867681943
54,Bryce Molder,0.623126515967544
55,Bryson DeChambeau,0.594293987294839
56,Bubba Watson,0.5791563850814381
57,Bud Cauley,0.6079711235713767
58,Byeong Hun An,0.563214179676981
59,Byron Smith,0.5814863102998696
60,C.T. Pan,0.6386297074885355
61,Cam Davis,0.5764436555999445
62,Cameron Champ,0.5683681686270018
63,Cameron Percy,0.614028287948299
64,Cameron Smith,0.5759180703238514
65,Cameron Tringale,0.5913461595281989
66,Camilo Villegas,0.5427403576184053
67,Carl Pettersson,0.554979008134348
68,Carlos Ortiz,0.5812539645502575
69,Chad Campbell,0.6551279286270575
70,Chad Collins,0.6017792164327076
71,Charl Schwartzel,0.5698598168408687
72,Charles Howell III,0.5719953319313266
73,Charley Hoffman,0.5741882327498351
74,Charlie Beljan,0.6261216350947159
75,Chase Seiffert,0.6387295704477793
76,Chase Wright,0.6261682242990654
77,Chesson Hadley,0.5939070470247052
78,Chez Reavie,0.7189986526183745
79,Chris Baker,0.6781330861622832
80,Chris Kirk,0.6320063034333698
81,Chris Stroud,0.6175968595738569
82,Cody Gribble,0.5461861105522603
83,Collin Morikawa,0.6756639194139193
84,Colt Knost,0.722964976232181
85,Conrad Shindler,0.6577266922094508
86,Corey Conners,0.6678621469264874
87,Curtis Luck,0.559074299634592
88,D.A. Points,0.6053145672715149
89,D.H. Lee,0.6085319949811794
90,D.J. Trahan,0.6086893359350496
91,Daniel Berger,0.6240665647634149
92,Daniel Summerhays,0.5970097230081707
93,Danny Lee,0.6097076612038649
94,Danny Willett,0.5830811367827313
95,David Hearn,0.6739964414669035
96,David Lingmerth,0.663673152281797
97,David Toms,0.7124091455388313
98,Davis Love III,0.6493688639551192
99,Dawie van der Walt,0.5689479060265578
100,Denny McCarthy,0.6329893701663568
101,Derek Ernst,0.6220028962564994
102,Derek Fathauer,0.5310219572315331
103,Dicky Pride,0.6585695006747638
104,Doc Redman,0.665662317376027
105,Dominic Bozzelli,0.5603678916494957
106,Doug Ghim,0.6611878235141788
107,Dustin Johnson,0.5737690645441287
108,Dylan Frittelli,0.5846932148876209
109,Emiliano Grillo,0.6692388931690415
110,Eric Axley,0.5554106910039114
111,Erik Compton,0.564756588440799
112,Erik van Rooyen,0.6112204724409449
113,Ernie Els,0.5629597128847736
114,Ethan Tracy,0.6025236593059937
115,Fabián Gómez,0.635216669473883
116,Francesco Molinari,0.6845340348165962
117,Freddie Jacobson,0.598264924564738
118,Gary Woodland,0.5919141723797976
119,Geoff Ogilvy,0.611388255885771
120,George McNeill,0.6254226437205668
121,Gonzalo Fernandez-Castaño,0.5711388003477254
122,Graeme McDowell,0.6543919494388138
123,Graham DeLaet,0.6308282241699409
124,Grayson Murray,0.5426220802525935
125,Greg Chalmers,0.6028828628944151
126,Greg Owen,0.5942760140568228
127,Hank Lebioda,0.6237816851917017
128,Harold Varner III,0.5991402132791163
129,Harris English,0.5879195326124115
130,Harry Higgs,0.5972291684032119
131,Heath Slocum,0.6951219512195121
132,Henrik Norlander,0.6668434817244617
133,Henrik Stenson,0.7240749658213596
134,Hideki Matsuyama,0.6131862413096
135,Hiroshi Iwata,0.5834053586862575
136,Hudson Swafford,0.6186986105571695
137,Hunter Mahan,0.6102201878156546
138,Ian Poulter,0.6367547541080878
139,J.B. Holmes,0.5291450681566563
140,J.J. Henry,0.6269671688293716
141,J.J. Spaun,0.6433397669733075
142,J.T. Poston,0.6092362805406895
143,James Hahn,0.6264071672824133
