PLAYER NAME,Proximity AVG,Avg Fairs Hit,Drives AVG,Gr in Reg,Par3,par4,par5
Aaron Baddeley,0.026422303749994554,0.5516717971321824,2.906,-0.29,3.045714285714286,4.029999999999999,4.664285714285714
Aaron Wise,0.026716000687594058,0.6126250249570202,3.019,-0.2825,3.0225,4.0275,4.585
Abraham Ancer,0.028471470624409856,0.6695255157354099,2.9074,-0.278,3.0340000000000003,4.002000000000001,4.656000000000001
Adam Hadwin,0.027730212626081337,0.6473157613063337,2.910857142857143,-0.2771428571428572,3.0385714285714287,4.027142857142858,4.661428571428572
Adam Long,0.02769903569664342,0.6546312106948443,2.9086666666666665,-0.2733333333333334,3.1,4.03,4.66
Adam Schenk,0.02725029023805747,0.6052802552975727,3.0195,-0.27,3.04,4.02,4.6175
Adam Scott,0.027865955396321314,0.5800802309503129,3.058857142857143,-0.2871428571428572,3.032857142857143,4.024285714285714,4.604285714285714
Adam Svensson,0.029715765828036166,0.6524064171122995,2.898,-0.26,3.04,4.01,4.61
Alex Cejka,0.028780059001059434,0.6610958277757197,2.8231999999999995,-0.252,3.01,4.044,4.678
Alex Noren,0.025316706842012923,0.601201874052288,2.9855,-0.28750000000000003,3.0675,4.0325,4.58
Alex Prugh,0.028709093198581753,0.6305270776304515,2.9945,-0.255,3.065,4.039999999999999,4.605
Anders Albertson,0.027511383571338713,0.6011173184357542,2.932,-0.24,2.98,4.05,4.68
Andres Gonzales,0.027787682014488932,0.561195237006527,2.9613333333333336,-0.26,3.06,4.053333333333334,4.673333333333334
Andres Romero,0.025808466960196036,0.5266594124047879,2.9530000000000003,-0.27,3.1,4.1,4.69
Andrew Landry,0.028875877347426422,0.6652976908344387,2.9054,-0.264,3.068,4.026,4.728
Andrew Loupe,0.026720546936146276,0.4574488686888647,3.1029999999999998,-0.28500000000000003,3.12,4.125,4.6899999999999995
Andrew Putnam,0.026685564975140658,0.5893285982976696,2.8314,-0.268,3.0199999999999996,4.048,4.6979999999999995
Andrew Svoboda,0.027292744390269977,0.5932047750229569,2.8710000000000004,-0.25,3.05,4.13,4.72
Andrew Yun,0.026541405249154156,0.5357710651828299,2.906,-0.22,3.09,4.17,4.88
Anirban Lahiri,0.027455799825061397,0.5910091108306514,2.9428333333333327,-0.2933333333333334,3.0749999999999997,4.036666666666666,4.655
Arjun Atwal,0.029929628067988243,0.6651270207852193,2.865,-0.24,3.14,4.01,4.68
Austin Cook,0.028102286517350757,0.6730720536942731,2.91575,-0.2725,3.0625,4.012499999999999,4.682500000000001
Beau Hossler,0.025899060381130084,0.574579166452086,3.02775,-0.29,3.0575,4.029999999999999,4.6499999999999995
Ben Crane,0.0275888227927145,0.6653821064181272,2.77725,-0.245,3.045,4.04,4.7225
Ben Martin,0.02838311375626057,0.6428385348457736,2.890333333333334,-0.27,3.0583333333333336,4.031666666666667,4.678333333333334
Ben Silverman,0.027789040825273302,0.6676233878349984,2.8869999999999996,-0.26,3.0549999999999997,4.055,4.65
Ben Taylor,0.028159975999042693,0.5546081771720613,2.954,-0.25,3.0,4.045,4.695
Bill Haas,0.026804920201771325,0.6026295090912198,2.9301428571428576,-0.23857142857142857,3.0642857142857145,4.041428571428571,4.622857142857143
Bill Lunde,0.028817693152152105,0.6359375,2.877,-0.21,3.04,4.06,4.75
Billy Horschel,0.027074667631456818,0.6365014096482727,2.9561428571428574,-0.2742857142857143,3.0614285714285714,4.018571428571429,4.644285714285715
Billy Hurley III,0.028772211540639817,0.6277004871816979,2.7762499999999997,-0.255,3.0675,4.047499999999999,4.7299999999999995
Blayne Barber,0.029264768700854635,0.6309359662866918,2.9102499999999996,-0.2625,3.0525,4.039999999999999,4.665
Bo Hoag,0.027335952185327052,0.6355064271510429,2.927,-0.25,3.045,4.02,4.625
Bo Van Pelt,0.028204102632134548,0.6031330854149112,2.9146666666666667,-0.24,3.08,4.1033333333333335,4.723333333333334
Boo Weekley,0.029271982840382318,0.6730738418669454,2.9113333333333333,-0.24666666666666667,3.0866666666666664,4.043333333333333,4.626666666666666
Brad Fritsch,0.028568167985392575,0.5639614855570839,2.883,-0.23,3.01,4.11,4.67
Brady Schnell,0.028956305889928646,0.6746143057503506,2.833,-0.26,3.08,4.06,4.66
Branden Grace,0.02761183111499664,0.5758147890881045,2.9545,-0.26166666666666666,3.06,4.033333333333333,4.675
Brandon Hagy,0.02651386877192766,0.5141553960036166,3.123666666666667,-0.28,3.1,4.036666666666666,4.623333333333334
Brandon Harkins,0.027370149632792128,0.5587143946711444,3.037,-0.3,3.04,4.045,4.615
Brandt Snedeker,0.02737995919514916,0.6218299884724094,2.882857142857143,-0.2857142857142857,3.0585714285714287,3.995714285714286,4.640000000000001
Brendan Steele,0.028149709386476506,0.6219739611428114,3.0302857142857147,-0.26857142857142857,3.075714285714286,4.029999999999999,4.642857142857144
Brendon Todd,0.02723866645835464,0.6871611188417304,2.7859999999999996,-0.2775,3.07,4.0325,4.6775
Brendon de Jonge,0.02786749384270585,0.6244109720309037,2.864,-0.265,3.035,4.045,4.67
Brett Drewitt,0.028955519892953148,0.6072874493927125,2.864,-0.22,3.06,4.06,4.84
Brett Stegmaier,0.02856379832657274,0.6132214516711805,2.9313333333333333,-0.25,3.0399999999999996,4.066666666666666,4.676666666666667
Brian Campbell,0.027586293659051672,0.5820476858345021,2.96,-0.28,3.05,4.06,4.76
Brian Davis,0.02793467213863381,0.6765994741454864,2.755,-0.24,3.09,4.06,4.74
Brian Gay,0.027841956119399013,0.6507670368166201,2.8236,-0.28,3.072,4.0360000000000005,4.6579999999999995
