,PLAYER NAME,Proximity AVG
0,Aaron Baddeley,0.026422303749994554
1,Aaron Wise,0.026716000687594058
2,Abraham Ancer,0.028471470624409856
3,Adam Hadwin,0.027730212626081337
4,Adam Long,0.02769903569664342
5,Adam Schenk,0.02725029023805747
6,Adam Scott,0.027865955396321314
7,Adam Svensson,0.029715765828036166
8,Alex Cejka,0.028780059001059434
9,Alex Noren,0.025316706842012923
10,Alex Prugh,0.028709093198581753
11,Anders Albertson,0.027511383571338713
12,Andres Gonzales,0.027787682014488932
13,Andres Romero,0.025808466960196036
14,Andrew Landry,0.028875877347426422
15,Andrew Loupe,0.026720546936146276
16,Andrew Putnam,0.026685564975140658
17,Andrew Svoboda,0.027292744390269977
18,Andrew Yun,0.026541405249154156
19,Anirban Lahiri,0.027455799825061397
20,Arjun Atwal,0.029929628067988243
21,Austin Cook,0.028102286517350757
22,Beau Hossler,0.025899060381130084
23,Ben Crane,0.0275888227927145
24,Ben Martin,0.02838311375626057
25,Ben Silverman,0.027789040825273302
26,Ben Taylor,0.028159975999042693
27,Bill Haas,0.026804920201771325
28,Bill Lunde,0.028817693152152105
29,Billy Horschel,0.027074667631456818
30,Billy Hurley III,0.028772211540639817
31,Blayne Barber,0.029264768700854635
32,Bo Hoag,0.027335952185327052
33,Bo Van Pelt,0.028204102632134548
34,Boo Weekley,0.029271982840382318
35,Brad Fritsch,0.028568167985392575
36,Brady Schnell,0.028956305889928646
37,Branden Grace,0.02761183111499664
38,Brandon Hagy,0.02651386877192766
39,Brandon Harkins,0.027370149632792128
40,Brandt Snedeker,0.02737995919514916
41,Brendan Steele,0.028149709386476506
42,Brendon Todd,0.02723866645835464
43,Brendon de Jonge,0.02786749384270585
44,Brett Drewitt,0.028955519892953148
45,Brett Stegmaier,0.02856379832657274
46,Brian Campbell,0.027586293659051672
47,Brian Davis,0.02793467213863381
48,Brian Gay,0.027841956119399013
49,Brian Harman,0.02787517608614654
50,Brian Stuard,0.029508463978715305
51,Brice Garnett,0.02754913037158352
52,Bronson Burgoon,0.028119743192846353
53,Brooks Koepka,0.027886277745586916
54,Bryce Molder,0.027798763487944588
55,Bryson DeChambeau,0.027248553957147398
56,Bubba Watson,0.02701556242447858
57,Bud Cauley,0.027587529619513475
58,Byeong Hun An,0.027168176529771288
59,Byron Smith,0.028560478092017633
60,C.T. Pan,0.027348602503451707
61,Cam Davis,0.027496164530852935
62,Cameron Champ,0.026372708281775233
63,Cameron Percy,0.02890234624584064
64,Cameron Smith,0.027666892958778066
65,Cameron Tringale,0.0270756364347659
66,Camilo Villegas,0.027780984244361318
67,Carl Pettersson,0.027336398274865663
68,Carlos Ortiz,0.02705168879604476
69,Chad Campbell,0.028905874059927814
70,Chad Collins,0.027941185946772733
71,Charl Schwartzel,0.026563923690376957
72,Charles Howell III,0.026453128132529227
73,Charley Hoffman,0.028331340091679588
74,Charlie Beljan,0.029371293510327835
75,Chase Seiffert,0.02823941977218957
76,Chase Wright,0.027962825890287032
77,Chesson Hadley,0.02893028858381029
78,Chez Reavie,0.030119407918318297
79,Chris Baker,0.028063393246406058
80,Chris Kirk,0.02890232236710673
81,Chris Stroud,0.02766385110993638
82,Cody Gribble,0.02627920132986558
83,Collin Morikawa,0.029566876875896576
84,Colt Knost,0.029663661986621348
85,Conrad Shindler,0.030097645031591038
86,Corey Conners,0.029089457376651282
87,Curtis Luck,0.025965429200367908
88,D.A. Points,0.028473659472445036
89,D.H. Lee,0.028136722154338725
90,D.J. Trahan,0.027164173970559313
91,Daniel Berger,0.027855494140719302
92,Daniel Summerhays,0.02632482284365799
93,Danny Lee,0.027985823756798645
94,Danny Willett,0.02616200303054603
95,David Hearn,0.029105348457645636
96,David Lingmerth,0.0285229458371732
97,David Toms,0.029865525956072045
98,Davis Love III,0.028710331891436666
99,Dawie van der Walt,0.028087470274912357
100,Denny McCarthy,0.026110280409610418
101,Derek Ernst,0.027403319096725012
102,Derek Fathauer,0.026893932048255038
103,Dicky Pride,0.028626572923029083
104,Doc Redman,0.0290208636468818
105,Dominic Bozzelli,0.02659716463572495
106,Doug Ghim,0.030043289158988684
107,Dustin Johnson,0.029063937813438263
108,Dylan Frittelli,0.026472621154641333
109,Emiliano Grillo,0.029253940122900172
110,Eric Axley,0.028087943314085866
111,Erik Compton,0.02783132682075832
112,Erik van Rooyen,0.028457361335848426
113,Ernie Els,0.02651082237192831
114,Ethan Tracy,0.027498510975723523
115,Fabián Gómez,0.027601845780158975
116,Francesco Molinari,0.02814698495187451
117,Freddie Jacobson,0.02684976530235407
118,Gary Woodland,0.027646820456012217
119,Geoff Ogilvy,0.026892280777897053
120,George McNeill,0.02832366694689431
121,Gonzalo Fernandez-Castaño,0.02690092022676707
122,Graeme McDowell,0.02710297011727218
123,Graham DeLaet,0.028759915034162836
124,Grayson Murray,0.02753920436517774
125,Greg Chalmers,0.025415686275701815
126,Greg Owen,0.02932917332144501
127,Hank Lebioda,0.02785168794779087
128,Harold Varner III,0.027886427010978484
129,Harris English,0.026973185279336207
130,Harry Higgs,0.02754842410228059
131,Heath Slocum,0.028827714197339933
132,Henrik Norlander,0.0286497303098666
133,Henrik Stenson,0.028080165692908245
134,Hideki Matsuyama,0.028857602909218516
135,Hiroshi Iwata,0.026204995058470786
136,Hudson Swafford,0.028387294349874286
137,Hunter Mahan,0.025605041604810783
138,Ian Poulter,0.027450948537837725
139,J.B. Holmes,0.02688504490607298
140,J.J. Henry,0.02748933358106459
141,J.J. Spaun,0.027810059027973927
142,J.T. Poston,0.02686197627439374
