,PLAYER NAME,Gr in Reg
184,Keith Mitchell,-0.28750000000000003
185,Kelly Kraft,-0.265
186,Ken Duke,-0.25
187,Kevin Chappell,-0.278
188,Kevin Kisner,-0.2785714285714286
189,Kevin Na,-0.2914285714285714
190,Kevin Streelman,-0.26142857142857145
191,Kevin Tway,-0.276
192,Kiradech Aphibarnrat,-0.275
193,Kramer Hickok,-0.24333333333333332
194,Kris Ventura,-0.305
195,Kyle Jones,-0.23
196,Kyle Reifers,-0.24666666666666667
197,Kyle Stanley,-0.25333333333333335
198,Kyle Thompson,-0.22
199,Lanto Griffin,-0.2833333333333334
200,Lee Westwood,-0.27
201,Louis Oosthuizen,-0.26857142857142857
202,Lucas Glover,-0.26142857142857145
203,Luke Donald,-0.24
204,Luke Guthrie,-0.29000000000000004
205,Luke List,-0.27666666666666667
206,Mackenzie Hughes,-0.28
207,Marc Leishman,-0.28285714285714286
208,Mark Anderson,-0.24
209,Mark Hubbard,-0.27
210,Mark Wilson,-0.22499999999999998
211,Martin Flores,-0.25
212,Martin Laird,-0.2642857142857143
213,Martin Piller,-0.26
214,Martin Trainer,-0.27
215,Matt Atkins,-0.26
216,Matt Every,-0.27
217,Matt Fitzpatrick,-0.3
218,Matt Jones,-0.2814285714285715
219,Matt Kuchar,-0.2885714285714286
220,Matt Wallace,-0.275
221,Matthew NeSmith,-0.26
222,Matthew Wolff,-0.31
223,Maverick McNealy,-0.3
224,Max Homa,-0.28750000000000003
225,Michael Gellerman,-0.24
226,Michael Gligic,-0.255
227,Michael Kim,-0.254
228,Michael Putnam,-0.22
229,Michael Thompson,-0.26571428571428574
230,Miguel Angel Carballo,-0.25
231,Morgan Hoffmann,-0.29
232,Nate Lashley,-0.2625
233,Nelson Ledesma,-0.275
234,Nicholas Lindheim,-0.255
235,Nicholas Thompson,-0.25
236,Nick Taylor,-0.27142857142857146
237,Nick Watney,-0.26
238,Ollie Schniederjans,-0.30000000000000004
239,Oscar Fraustro,-0.26
240,Padraig Harrington,-0.255
241,Pat Perez,-0.27999999999999997
242,Patrick Cantlay,-0.30400000000000005
243,Patrick Reed,-0.31285714285714283
244,Patrick Rodgers,-0.27571428571428575
245,Patton Kizzire,-0.2916666666666667
246,Paul Casey,-0.27285714285714285
247,Peter Malnati,-0.29000000000000004
248,Peter Uihlein,-0.2866666666666667
249,Phil Mickelson,-0.3085714285714286
250,Rafa Cabrera Bello,-0.276
251,Rafael Campos,-0.27
252,Retief Goosen,-0.26
253,Rhein Gibson,-0.25666666666666665
254,Richy Werenski,-0.276
255,Rick Lamb,-0.26
256,Rickie Fowler,-0.3042857142857143
257,Ricky Barnes,-0.2925
258,Rob Oppenheim,-0.2575
259,Robby Shelton,-0.265
260,Robert Allenby,-0.195
261,Robert Garrigus,-0.27
262,Robert Streb,-0.26
263,Roberto Castro,-0.2425
264,Roberto Díaz,-0.255
265,Rod Pampling,-0.2225
266,Roger Sloan,-0.2725
267,Rory McIlroy,-0.32500000000000007
268,Rory Sabbatini,-0.27142857142857146
269,Russell Henley,-0.2642857142857143
270,Russell Knox,-0.24714285714285714
271,Ryan Armour,-0.262
272,Ryan Blaum,-0.2733333333333334
273,Ryan Brehm,-0.26
274,Ryan Moore,-0.2833333333333334
275,Ryan Palmer,-0.2857142857142857
276,Ryo Ishikawa,-0.27
277,Sam Burns,-0.32666666666666666
278,Sam Ryder,-0.2775
279,Sam Saunders,-0.272
280,Sangmoon Bae,-0.27
281,Satoshi Kodaira,-0.24666666666666667
282,Scott Brown,-0.27
283,Scott Harrington,-0.265
284,Scott Langley,-0.26
285,Scott Piercy,-0.27142857142857146
286,Scott Pinckney,-0.255
287,Scott Stallings,-0.2642857142857143
288,Scottie Scheffler,-0.325
289,Seamus Power,-0.28400000000000003
290,Sean O'Hair,-0.264
291,Sebastian Cappelen,-0.27
292,Sebastián Muñoz,-0.29250000000000004
293,Sepp Straka,-0.29000000000000004
294,Sergio Garcia,-0.27666666666666667
295,Seth Reeves,-0.27
296,Seung-Yul Noh,-0.2733333333333334
297,Shane Lowry,-0.254
298,Shawn Stefani,-0.26
299,Si Woo Kim,-0.28500000000000003
300,Smylie Kaufman,-0.28500000000000003
301,Spencer Levin,-0.24
302,Stephan Jaeger,-0.26
303,Steve Marino,-0.25
304,Steve Stricker,-0.29
305,Steve Wheatcroft,-0.2675
306,Steven Alker,-0.25
307,Steven Bowditch,-0.24333333333333332
308,Stewart Cink,-0.26333333333333336
309,Stuart Appleby,-0.27
310,Sung Joon Park,-0.21
311,Sung Kang,-0.26833333333333337
312,Sungjae Im,-0.31
313,Søren Kjeldsen,-0.26
314,Tag Ridings,-0.29
315,Talor Gooch,-0.28500000000000003
316,Ted Potter Jr.,-0.2625
317,Thomas Aiken,-0.21
318,Tiger Woods,-0.3
319,Tim Wilkinson,-0.2625
320,Tom Hoge,-0.2771428571428572
321,Tom Lewis,-0.24
322,Tom Lovelady,-0.29
323,Tommy Fleetwood,-0.28
324,Tony Finau,-0.3071428571428571
325,Trey Mullinax,-0.2833333333333334
326,Troy Merritt,-0.2785714285714286
327,Tyler Aldridge,-0.24
328,Tyler Duncan,-0.25
329,Tyler McCumber,-0.26
330,Tyrone Van Aswegen,-0.2525
331,Tyrrell Hatton,-0.29250000000000004
332,Vaughn Taylor,-0.2866666666666667
333,Vijay Singh,-0.25
334,Viktor Hovland,-0.315
335,Vincent Whaley,-0.28500000000000003
336,Webb Simpson,-0.2957142857142857
337,Wes Roach,-0.27666666666666667
338,Wesley Bryan,-0.275
339,Whee Kim,-0.26
340,Will Gordon,-0.28
341,Will MacKenzie,-0.23
342,Will Wilcox,-0.28
343,Will Zalatoris,-0.28
344,William McGirt,-0.245
345,Wyndham Clark,-0.3133333333333333
346,Xander Schauffele,-0.31
347,Xinjun Zhang,-0.26333333333333336
348,Zac Blair,-0.252
349,Zach Johnson,-0.2771428571428572
350,Zack Sucher,-0.26
351,Zecheng Dou,-0.21
352,Ángel Cabrera,-0.245
