,PLAYER NAME,Put Carry,Score Carry,T2G Carry
0,Aaron Baddeley,0.12111637904985731,-0.005007216253520595,-0.126110469102643
1,Aaron Wise,-0.08193977785558668,0.10746413437597262,0.1894140802987862
2,Abraham Ancer,0.06183079899147974,0.2974930973203493,0.23566788885177795
3,Adam Hadwin,0.1423562341119099,0.23857372273160354,0.0962225351376842
4,Adam Long,2.1478873239435745e-05,-0.03430706296603148,-0.034317274233637125
5,Adam Schenk,0.07252117054693275,0.08278987620103474,0.010275145048041388
6,Adam Scott,0.07108841257612444,0.5260329294152175,0.4549607854574803
7,Adam Svensson,-0.06015272727272728,0.037972727272727276,0.09812363636363637
8,Alex Cejka,-0.08318287634408603,-0.09847163978494626,-0.015293763440860211
9,Alex Noren,0.14295066061790315,0.20595376069472415,0.06300365860402406
10,Alex Prugh,-0.03441228070175439,-0.006614035087719299,0.027800000000000005
11,Anders Albertson,-0.030719230769230773,-0.05197500000000001,-0.021255769230769234
12,Andres Gonzales,0.002324561403508772,0.0020350877192982456,-0.00029122807017543863
13,Andrew Landry,-0.07675354357970797,-0.13010673521122937,-0.05334120939581416
14,Andrew Loupe,-0.024185106382978726,-0.1416468085106383,-0.11746170212765959
15,Andrew Putnam,0.19279929470866974,0.0014483097139347274,-0.19133970691470692
16,Andrew Yun,-0.059955882352941185,-0.19356176470588238,-0.1336029411764706
17,Anirban Lahiri,-0.02805258565520062,-0.14315234543323666,-0.11509188347544194
18,Arjun Atwal,-0.054765,-0.10021000000000001,-0.045445000000000006
19,Austin Cook,0.06515015018615511,-0.032135849004017586,-0.09727539155676153
20,Beau Hossler,0.196601568627451,-0.023837775776977467,-0.22044069160997734
21,Ben Crane,0.01777246376811594,-0.004695652173913049,-0.022471739130434785
22,Ben Martin,-0.0038280488654792045,-0.021026910189913286,-0.017187004945518874
23,Ben Silverman,0.012576409774436092,-0.05629511278195489,-0.06887772556390978
24,Ben Taylor,0.04485080645161291,-0.06383640552995391,-0.10867361751152073
25,Bill Haas,-0.0847811153184252,-0.02183258987360146,0.06294070130175368
26,Billy Horschel,0.17063553377628268,0.30182291930649796,0.13119022038603745
27,Billy Hurley III,0.03984019832189169,-0.059172616323417235,-0.0990096109839817
28,Blayne Barber,0.037985870646766166,-0.0027604975124378107,-0.04074286069651741
29,Bo Hoag,0.01221374149659864,0.004523564625850338,-0.00768342857142857
30,Bo Van Pelt,-0.10082398826979473,-0.31425706744868037,-0.2134211730205279
31,Boo Weekley,-0.09535409836065574,-0.032321311475409835,0.0630311475409836
32,Brad Fritsch,-0.05964285714285714,-0.07187857142857143,-0.012245238095238095
33,Brady Schnell,0.006510256410256411,-0.07627692307692308,-0.0827871794871795
34,Branden Grace,-0.061942054895459155,0.14120125065242087,0.20315586610788738
35,Brandon Hagy,0.010983120939530237,-0.025074700149925043,-0.036054493586540066
36,Brandon Harkins,-0.02558254049445866,-0.011416965046888324,0.014164126172208014
37,Brandt Snedeker,0.2330030604890605,0.3157150234877735,0.08272731981981982
38,Brendan Steele,-0.10967391261119869,0.11965555901172979,0.22934464557154002
39,Brendon Todd,0.11179637558685446,0.08118948356807512,-0.030600075117370895
40,Brett Drewitt,-0.04572325581395349,-0.10352558139534884,-0.0578093023255814
41,Brett Stegmaier,-0.011369955979457072,-0.12173873807776964,-0.11036452677916361
42,Brian Campbell,0.038470731707317074,-0.04277073170731708,-0.08124146341463415
43,Brian Gay,0.15601591584852736,-0.12256076383045036,-0.278564729234845
44,Brian Harman,0.17026044079112157,0.29653188640124684,0.12628336704066934
45,Brian Stuard,0.054681392633634474,0.055218184170901574,0.0005439141022021473
46,Brice Garnett,0.06292793344068706,0.005562425368512329,-0.05736072339898427
47,Bronson Burgoon,-0.02169567344780391,0.009601339741196962,0.031312109262518
48,Brooks Koepka,0.0925770249764101,0.5567351361879236,0.46416304771649536
49,Bryce Molder,0.03834375,-0.0845890625,-0.12293125
50,Bryson DeChambeau,0.16382046837235617,0.6149319115724805,0.45112039447235375
51,Bubba Watson,-0.06761204509609207,0.2172801648071344,0.2848993853418229
52,Bud Cauley,0.009421289750642142,0.21866604800763756,0.2092476007546655
53,Byeong Hun An,-0.26353569359621826,0.15602945036350138,0.4195675779838098
54,C.T. Pan,-0.10167489405863367,-0.01292877189155095,0.08874608421496606
55,Cam Davis,-0.0026032926519196503,0.11687171370455124,0.11947806763285024
56,Cameron Champ,-0.08795940212150435,-0.059154087604777104,0.028808761961278836
57,Cameron Percy,-0.07888640059127865,0.04241147819660015,0.12130684774575018
58,Cameron Smith,0.12090836996684316,0.22974520660949874,0.10884703570662949
59,Cameron Tringale,0.07913005351568926,0.1253920481030389,0.04627292595469284
60,Camilo Villegas,0.012350918114143922,0.03425436724565757,0.02190161290322581
61,Carl Pettersson,0.017225,-0.12833846153846157,-0.14556923076923076
62,Carlos Ortiz,0.015619139378024921,0.09821352718566574,0.08260569457316445
63,Chad Campbell,-0.07402021071115013,-0.007876716417910448,0.06614435469710271
64,Chad Collins,0.007948148148148147,-0.045364814814814816,-0.05332037037037038
65,Charl Schwartzel,0.0363015,0.09519864285714288,0.05890590476190476
66,Charles Howell III,0.10129452955756532,0.26716528871912604,0.1658916971506896
67,Charley Hoffman,0.027169967798875108,0.28679411593503723,0.25963748622291066
68,Chase Seiffert,0.016836706349206344,0.015475992063492063,-0.0013543650793650802
69,Chase Wright,0.03793508771929825,0.0010263157894736842,-0.03691052631578948
70,Chesson Hadley,0.09251761495656666,0.10019102291550856,0.007672101982716506
