,PLAYER NAME,Drives AVG
0,Aaron Baddeley,2.906
1,Aaron Wise,3.019
2,Abraham Ancer,2.9074
3,Adam Hadwin,2.910857142857143
4,Adam Long,2.9086666666666665
5,Adam Schenk,3.0195
6,Adam Scott,3.058857142857143
7,Adam Svensson,2.898
8,Alex Cejka,2.8231999999999995
9,Alex Noren,2.9855
10,Alex Prugh,2.9945
11,Anders Albertson,2.932
12,Andres Gonzales,2.9613333333333336
13,Andres Romero,2.9530000000000003
14,Andrew Landry,2.9054
15,Andrew Loupe,3.1029999999999998
16,Andrew Putnam,2.8314
17,Andrew Svoboda,2.8710000000000004
18,Andrew Yun,2.906
19,Anirban Lahiri,2.9428333333333327
20,Arjun Atwal,2.865
21,Austin Cook,2.91575
22,Beau Hossler,3.02775
23,Ben Crane,2.77725
24,Ben Martin,2.890333333333334
25,Ben Silverman,2.8869999999999996
26,Ben Taylor,2.954
27,Bill Haas,2.9301428571428576
28,Bill Lunde,2.877
29,Billy Horschel,2.9561428571428574
30,Billy Hurley III,2.7762499999999997
31,Blayne Barber,2.9102499999999996
32,Bo Hoag,2.927
33,Bo Van Pelt,2.9146666666666667
34,Boo Weekley,2.9113333333333333
35,Brad Fritsch,2.883
36,Brady Schnell,2.833
37,Branden Grace,2.9545
38,Brandon Hagy,3.123666666666667
39,Brandon Harkins,3.037
40,Brandt Snedeker,2.882857142857143
41,Brendan Steele,3.0302857142857147
42,Brendon Todd,2.7859999999999996
43,Brendon de Jonge,2.864
44,Brett Drewitt,2.864
45,Brett Stegmaier,2.9313333333333333
46,Brian Campbell,2.96
47,Brian Davis,2.755
48,Brian Gay,2.8236
49,Brian Harman,2.903571428571428
50,Brian Stuard,2.7737142857142856
51,Brice Garnett,2.8998
52,Bronson Burgoon,2.9707999999999997
53,Brooks Koepka,3.0885714285714285
54,Bryce Molder,2.7836666666666665
55,Bryson DeChambeau,3.1068000000000002
56,Bubba Watson,3.1027142857142858
57,Bud Cauley,2.9379999999999997
58,Byeong Hun An,3.0472
59,Byron Smith,2.9189999999999996
60,C.T. Pan,2.8964
61,Cam Davis,3.0866666666666664
62,Cameron Champ,3.19
63,Cameron Percy,2.9196
64,Cameron Smith,2.9486666666666665
65,Cameron Tringale,2.904857142857143
66,Camilo Villegas,2.901
67,Carl Pettersson,2.859
68,Carlos Ortiz,3.0032
69,Chad Campbell,2.863
70,Chad Collins,2.797
71,Charl Schwartzel,2.9974
72,Charles Howell III,3.0077142857142856
73,Charley Hoffman,2.991285714285714
74,Charlie Beljan,3.0980000000000003
75,Chase Seiffert,2.911
76,Chase Wright,2.991
77,Chesson Hadley,2.9638333333333335
78,Chez Reavie,2.8551428571428574
79,Chris Baker,2.907
80,Chris Kirk,2.8808
81,Chris Stroud,2.871166666666667
82,Cody Gribble,2.984666666666666
83,Collin Morikawa,2.9625000000000004
84,Colt Knost,2.7315
85,Conrad Shindler,2.9130000000000003
86,Corey Conners,2.98675
87,Curtis Luck,2.8939999999999997
88,D.A. Points,2.805
89,D.H. Lee,2.804
90,D.J. Trahan,2.9475
91,Daniel Berger,2.9899999999999998
92,Daniel Summerhays,2.8655000000000004
93,Danny Lee,2.9332857142857143
94,Danny Willett,2.9629999999999996
95,David Hearn,2.805285714285715
96,David Lingmerth,2.87575
97,David Toms,2.6985
98,Davis Love III,2.947
99,Dawie van der Walt,2.9019999999999997
100,Denny McCarthy,2.9385000000000003
101,Derek Ernst,2.9485
102,Derek Fathauer,2.8815
103,Dicky Pride,2.7889999999999997
104,Doc Redman,2.957
105,Dominic Bozzelli,2.967
106,Doug Ghim,2.9444999999999997
107,Dustin Johnson,3.137428571428572
108,Dylan Frittelli,2.9903333333333335
109,Emiliano Grillo,2.954
110,Eric Axley,2.864
111,Erik Compton,2.8655
112,Erik van Rooyen,3.053
113,Ernie Els,2.88475
114,Ethan Tracy,2.99
115,Fabián Gómez,2.8729999999999998
116,Francesco Molinari,2.9008
117,Freddie Jacobson,2.8280000000000003
118,Gary Woodland,3.079714285714285
119,Geoff Ogilvy,2.907
120,George McNeill,2.8535000000000004
121,Gonzalo Fernandez-Castaño,2.907
122,Graeme McDowell,2.8478000000000003
123,Graham DeLaet,2.9923333333333333
124,Grayson Murray,3.0869999999999997
125,Greg Chalmers,2.8076666666666665
126,Greg Owen,2.9575
127,Hank Lebioda,2.9456666666666664
128,Harold Varner III,3.028666666666666
129,Harris English,3.004571428571428
130,Harry Higgs,2.9995
131,Heath Slocum,2.758
132,Henrik Norlander,2.9143333333333334
133,Henrik Stenson,2.9019999999999997
134,Hideki Matsuyama,3.0022857142857142
135,Hiroshi Iwata,2.888
136,Hudson Swafford,3.02
137,Hunter Mahan,2.9553333333333334
138,Ian Poulter,2.878833333333333
139,J.B. Holmes,3.079333333333333
140,J.J. Henry,2.9086000000000003
141,J.J. Spaun,2.9264
142,J.T. Poston,2.9601999999999995
143,James Hahn,2.949
144,Jamie Donaldson,2.949
145,Jamie Lovemark,3.0429999999999997
146,Jason Bohn,2.7643333333333335
147,Jason Day,3.051571428571428
148,Jason Dufner,2.9107142857142856
149,Jason Gore,2.8979999999999997
150,Jason Kokrak,3.0794285714285716
151,Jeff Overton,2.849
152,Jerry Kelly,2.777
153,Jhonattan Vegas,3.0551428571428576
154,Jim Furyk,2.783
155,Jim Herman,2.906333333333333
156,Jim Knous,2.965
157,Jim Renner,2.833
158,Jimmy Walker,2.988857142857143
159,Joaquin Niemann,3.046
160,Joel Dahmen,2.9397499999999996
161,Joey Garber,2.9389999999999996
162,John Chin,3.0
163,John Huh,2.8584
164,John Merrick,2.85
165,John Peterson,2.8810000000000002
166,John Senden,2.8994999999999997
167,Johnson Wagner,2.8754
168,Jon Curran,2.727
169,Jon Rahm,3.0738
170,Jonas Blixt,2.8983999999999996
171,Jonathan Byrd,2.8693333333333335
172,Jonathan Randolph,2.881
173,Jordan Spieth,2.969857142857143
174,Joseph Bramlett,3.0445
175,Josh Teater,2.92
176,José de Jesús Rodríguez,2.9019999999999997
177,Julián Etulain,2.9265
178,Justin Leonard,2.716
179,Justin Rose,3.017285714285715
180,Justin Thomas,3.0518571428571426
181,K.H. Lee,2.936666666666667
182,K.J. Choi,2.758
183,Keegan Bradley,3.0074285714285716
184,Keith Mitchell,3.0622499999999997
185,Kelly Kraft,2.9012499999999997
186,Ken Duke,2.775
187,Kevin Chappell,3.008
188,Kevin Kisner,2.888285714285714
189,Kevin Na,2.854285714285715
190,Kevin Streelman,2.927142857142857
191,Kevin Tway,3.0678000000000005
192,Kiradech Aphibarnrat,2.9355
193,Kramer Hickok,2.9153333333333333
194,Kris Ventura,3.0519999999999996
195,Kyle Jones,2.84
196,Kyle Reifers,2.8713333333333337
197,Kyle Stanley,2.910666666666667
198,Kyle Thompson,2.853
199,Lanto Griffin,3.0263333333333335
200,Lee Westwood,2.9705000000000004
201,Louis Oosthuizen,2.9758571428571434
202,Lucas Glover,2.9772857142857143
203,Luke Donald,2.8112500000000002
204,Luke Guthrie,2.866
205,Luke List,3.111333333333333
206,Mackenzie Hughes,2.9572
207,Marc Leishman,2.961
208,Mark Anderson,2.8786666666666663
209,Mark Hubbard,2.8234
210,Mark Wilson,2.7695
211,Martin Flores,2.9913333333333334
212,Martin Laird,2.988285714285714
213,Martin Piller,2.894
214,Martin Trainer,3.0316666666666667
215,Matt Atkins,3.014
