,PLAYER NAME,ROUNDS,%,GREENS HIT,# HOLES,RELATIVE/PAR
227,Roberto Díaz,7273,63.7366.58,780779,12241170,-0.23-0.28
228,Rod Pampling,716256,64.0162.6464.00,818654599,12781044936,-0.21-0.23-0.22
229,Roger Sloan,885588,65.0865.5868.77,9846021015,15129181476,-0.30-0.26-0.27
230,Rory McIlroy,5164726077,65.6366.3068.5567.7865.77,567728839732876,8641098122410801332,-0.28-0.31-0.37-0.33-0.34
231,Rory Sabbatini,7191976675,67.3567.8566.9165.2464.81,78810871120775875,11701602167411881350,-0.28-0.26-0.30-0.26-0.30
232,Russell Henley,9977786787,67.8168.7768.1071.6969.44,11849168588131050,17461332126011341512,-0.28-0.26-0.25-0.25-0.27
233,Russell Knox,7594796796,66.5969.5769.0670.1170.41,83911278957951166,12601620129611341656,-0.25-0.24-0.25-0.25-0.25
234,Ryan Armour,63109926080,69.9668.2267.5767.9167.02,74313141119709941,10621926165610441404,-0.23-0.25-0.26-0.28-0.29
235,Ryan Blaum,1008190,65.2866.1064.97,1128928959,172814041476,-0.27-0.27-0.28
236,Ryan Brehm,835262,67.3968.7867.72,934619707,13869001044,-0.25-0.27-0.26
237,Ryan Moore,82787448,65.0568.8068.1768.56,925966908543,142214041332792,-0.28-0.26-0.30-0.28
238,Ryan Palmer,6169746881,66.4665.6168.3565.9365.54,634744812807873,9541134118812241332,-0.21-0.30-0.30-0.30-0.32
239,Ryo Ishikawa,56,63.29,638,1008,-0.26
240,Sam Burns,806088,64.7466.9567.79,9096991025,140410441512,-0.31-0.32-0.35
241,Sam Ryder,82767494,72.0867.9866.3568.09,10388818361054,1440129612601548,-0.26-0.30-0.28-0.27
242,Sam Saunders,768078,65.2465.0264.79,822866863,126013321332,-0.28-0.30-0.28
243,Sangmoon Bae,60,64.71,629,972,-0.26
244,Satoshi Kodaira,516780,60.3063.5465.20,521732892,86411521368,-0.22-0.25-0.27
245,Scott Brown,95102866484,64.3565.6566.5364.5064.65,10541158982743931,16381764147611521440,-0.27-0.27-0.27-0.25-0.28
246,Scott Harrington,6885,64.4662.73,789892,12241422,-0.27-0.26
247,Scott Langley,78,62.01,826,1332,-0.29
248,Scott Piercy,7084906685,66.7569.7270.0964.7365.61,80510041085769933,12061440154811881422,-0.28-0.24-0.29-0.28-0.27
249,Scott Stallings,8196827184,67.8965.6266.7469.6568.20,9411063937840933,13861620140412061368,-0.25-0.26-0.28-0.30-0.25
250,Scottie Scheffler,82109,69.0468.08,10191201,14761764,-0.32-0.33
251,Seamus Power,8686803658,65.6365.1762.1969.4468.20,945915806400712,1440140412965761044,-0.28-0.27-0.26-0.32-0.29
252,Sean O'Hair,846755,66.4063.8467.97,1004724624,15121134918,-0.26-0.27-0.22
253,Sebastian Cappelen,5560,64.3660.91,614592,954972,-0.27-0.27
254,Sebastián Muñoz,518684105,63.1568.2666.3466.67,55798310031224,882144015121836,-0.27-0.30-0.30-0.30
255,Sepp Straka,7870100,69.0666.9866.84,8958441155,129612601728,-0.30-0.27-0.30
256,Sergio Garcia,65534479,69.6263.2668.3170.05,777501541933,11167927921332,-0.26-0.30-0.26-0.29
257,Seth Reeves,73,66.83,806,1206,-0.27
258,Seung-Yul Noh,91,65.58,1027,1566,-0.27
259,Shane Lowry,52644479,67.5768.6569.4468.35,596692550935,88210087921368,-0.27-0.25-0.24-0.27
260,Shawn Stefani,727680,67.4867.4969.96,826899957,122413321368,-0.24-0.27-0.27
261,Si Woo Kim,80108877897,59.6363.7864.9165.5465.78,80511949588731113,13501872147613321692,-0.24-0.27-0.32-0.29-0.30
262,Smylie Kaufman,76,65.26,834,1278,-0.28
263,Spencer Levin,89,65.56,1003,1530,-0.22
264,Stephan Jaeger,8177,67.1165.96,906843,13501278,-0.25-0.27
265,Steve Wheatcroft,5160,60.9966.57,516695,8461044,-0.24-0.26
266,Steven Alker,69,65.17,739,1134,-0.24
267,Steven Bowditch,59,53.54,530,990,-0.18
268,Stewart Cink,93875190,68.7668.5867.9769.44,115110746241125,167415669181620,-0.28-0.27-0.27-0.28
269,Sung Kang,10489867390,66.0763.2066.1465.3062.02,12139671000858960,18361530151213141548,-0.28-0.28-0.27-0.26-0.25
270,Sungjae Im,12294127,67.6167.0869.08,143611351517,212416922196,-0.31-0.31-0.31
271,Søren Kjeldsen,58,62.02,547,882,-0.26
272,Tag Ridings,67,65.91,700,1062,-0.29
273,Talor Gooch,78548397,63.5869.9667.0765.80,82468010021066,129697214941620,-0.26-0.29-0.30-0.29
274,Ted Potter Jr.,87734668,63.0366.3568.9462.50,987848546765,156612787921224,-0.27-0.27-0.24-0.27
275,Tiger Woods,68,67.40,825,1224,-0.30
276,Tim Wilkinson,6450,63.9867.39,668558,1044828,-0.27-0.27
277,Tom Hoge,541019874100,66.0663.6265.8065.6262.62,547106510668741082,8281674162013321728,-0.28-0.28-0.26-0.27-0.31
278,Tom Lewis,88,65.56,944,1440,-0.24
279,Tom Lovelady,87,67.08,978,1458,-0.29
280,Tommy Fleetwood,73714065,69.3666.9367.2264.44,824771484696,118811527201080,-0.32-0.27-0.27-0.26
281,Tony Finau,106105897297,68.9670.1867.4668.8367.10,1291123810208921087,18721764151212961620,-0.30-0.32-0.30-0.31-0.32
282,Trey Mullinax,887577,67.0165.3867.50,989812887,147612421314,-0.28-0.29-0.28
