,PLAYER NAME,par4
0,Aaron Baddeley,4.029999999999999
1,Aaron Wise,4.0275
2,Abraham Ancer,4.002000000000001
3,Adam Hadwin,4.027142857142858
4,Adam Long,4.03
5,Adam Schenk,4.02
6,Adam Scott,4.024285714285714
7,Adam Svensson,4.01
8,Alex Cejka,4.044
9,Alex Noren,4.0325
10,Alex Prugh,4.039999999999999
11,Anders Albertson,4.05
12,Andres Gonzales,4.053333333333334
13,Andres Romero,4.1
14,Andrew Landry,4.026
15,Andrew Loupe,4.125
16,Andrew Putnam,4.048
17,Andrew Svoboda,4.13
18,Andrew Yun,4.17
19,Anirban Lahiri,4.036666666666666
20,Arjun Atwal,4.01
21,Austin Cook,4.012499999999999
22,Beau Hossler,4.029999999999999
23,Ben Crane,4.04
24,Ben Martin,4.031666666666667
25,Ben Silverman,4.055
26,Ben Taylor,4.045
27,Bill Haas,4.041428571428571
28,Bill Lunde,4.06
29,Billy Horschel,4.018571428571429
30,Billy Hurley III,4.047499999999999
31,Blayne Barber,4.039999999999999
32,Bo Hoag,4.02
33,Bo Van Pelt,4.1033333333333335
34,Boo Weekley,4.043333333333333
35,Brad Fritsch,4.11
36,Brady Schnell,4.06
37,Branden Grace,4.033333333333333
38,Brandon Hagy,4.036666666666666
39,Brandon Harkins,4.045
40,Brandt Snedeker,3.995714285714286
41,Brendan Steele,4.029999999999999
42,Brendon Todd,4.0325
43,Brendon de Jonge,4.045
44,Brett Drewitt,4.06
45,Brett Stegmaier,4.066666666666666
46,Brian Campbell,4.06
47,Brian Davis,4.06
48,Brian Gay,4.0360000000000005
49,Brian Harman,4.008571428571428
50,Brian Stuard,4.024285714285713
51,Brice Garnett,4.014
52,Bronson Burgoon,4.045999999999999
53,Brooks Koepka,4.001428571428572
54,Bryce Molder,4.036666666666667
55,Bryson DeChambeau,3.9939999999999998
56,Bubba Watson,4.0285714285714285
57,Bud Cauley,4.025
58,Byeong Hun An,4.029999999999999
59,Byron Smith,4.09
60,C.T. Pan,4.042
