,PLAYER NAME,OTT Carry,APR Carry,ARG Carry
0,Aaron Baddeley,-0.29500000000000004,-0.04170000000000001,0.2105
1,Aaron Wise,0.12080000000000002,0.0388,0.0297
2,Abraham Ancer,0.1578,0.09190000000000001,-0.013900000000000001
3,Adam Hadwin,0.0324,0.029900000000000003,0.0338
4,Adam Long,0.0077,-0.004500000000000011,-0.037500000000000006
5,Adam Schenk,0.0591,-0.006100000000000002,-0.0427
6,Adam Scott,0.0952,0.2645,0.09509999999999999
7,Adam Svensson,0.0213,0.0509,0.025900000000000003
8,Alex Cejka,-0.013600000000000001,-0.0383,0.036500000000000005
9,Alex Noren,0.0014999999999999987,-0.033,0.09450000000000001
10,Alex Prugh,0.0379,0.0222,-0.0323
11,Anders Albertson,-0.026500000000000003,0.0165,-0.011300000000000001
12,Andres Gonzales,-0.0104,-0.0089,0.019000000000000003
13,Andrew Landry,0.044899999999999995,-0.024300000000000002,-0.0741
14,Andrew Loupe,-0.0348,-0.0424,-0.0403
15,Andrew Putnam,-0.2425,0.040799999999999996,0.010400000000000003
16,Andrew Yun,-0.045700000000000005,-0.044700000000000004,-0.0432
17,Anirban Lahiri,0.02030000000000001,-0.154,0.0186
18,Arjun Atwal,-0.0315,-0.037700000000000004,0.0238
19,Austin Cook,0.058600000000000006,-0.12,-0.035800000000000005
20,Beau Hossler,0.022800000000000004,-0.229,-0.0142
21,Ben Crane,-0.045200000000000004,-0.006200000000000001,0.028900000000000002
22,Ben Martin,0.010500000000000004,0.04429999999999999,-0.0718
23,Ben Silverman,0.0233,-0.07150000000000001,-0.020700000000000003
24,Ben Taylor,-0.0753,-0.0199,-0.013500000000000002
25,Bill Haas,-0.0749,-0.03609999999999999,0.1739
26,Billy Horschel,0.14820000000000003,0.0291,-0.04620000000000001
27,Billy Hurley III,-0.1508,0.0262,0.025600000000000005
28,Blayne Barber,0.0142,-0.017,-0.0379
29,Bo Hoag,-0.00020000000000000052,-0.004899999999999998,-0.0026
30,Bo Van Pelt,-0.0745,-0.11630000000000001,-0.022600000000000002
31,Boo Weekley,0.0634,0.0425,-0.0429
32,Brad Fritsch,-0.0432,0.0235,0.0075
33,Brady Schnell,-0.0439,-0.0318,-0.0070999999999999995
34,Branden Grace,0.0023999999999999924,0.1119,0.0887
35,Brandon Hagy,0.07300000000000001,-0.14870000000000003,0.0397
36,Brandon Harkins,0.0211,0.0036000000000000008,-0.0105
37,Brandt Snedeker,-0.1237,0.022400000000000003,0.18400000000000002
38,Brendan Steele,0.16690000000000002,0.098,-0.0354
39,Brendon Todd,-0.030700000000000005,-0.029500000000000002,0.0296
40,Brett Drewitt,-0.020900000000000002,-0.031400000000000004,-0.0054
41,Brett Stegmaier,-0.0276,-0.0039000000000000016,-0.0789
42,Brian Campbell,0.0063,-0.07500000000000001,-0.0126
43,Brian Gay,-0.18780000000000002,-0.14290000000000003,0.05210000000000001
44,Brian Harman,0.07120000000000001,-0.0623,0.11740000000000003
45,Brian Stuard,-0.1198,0.06620000000000001,0.054000000000000006
46,Brice Garnett,0.08230000000000001,-0.0835,-0.0563
47,Bronson Burgoon,0.0311,0.0371,-0.0369
48,Brooks Koepka,0.2665,0.173,0.0247
49,Bryce Molder,-0.10980000000000001,-0.0431,0.030100000000000002
50,Bryson DeChambeau,0.3628,0.09730000000000001,-0.008799999999999999
51,Bubba Watson,0.34320000000000006,0.008900000000000002,-0.0673
52,Bud Cauley,-0.0128,0.1074,0.11460000000000001
53,Byeong Hun An,0.1308,0.13410000000000002,0.1545
54,C.T. Pan,-0.010700000000000003,0.0751,0.0244
55,Cam Davis,0.07200000000000001,0.0537,-0.006200000000000001
56,Cameron Champ,0.22490000000000002,-0.0632,-0.1329
57,Cameron Percy,0.002899999999999998,0.14850000000000002,-0.03
58,Cameron Smith,-0.0666,0.049800000000000004,0.1255
59,Cameron Tringale,-0.234,0.1759,0.1044
60,Camilo Villegas,-0.0669,0.0343,0.0545
61,Carl Pettersson,-0.11230000000000001,-0.038500000000000006,0.0052
62,Carlos Ortiz,0.033600000000000005,0.008900000000000002,0.039900000000000005
63,Chad Campbell,-0.00010000000000000026,0.049600000000000005,0.0167
64,Chad Collins,-0.0573,-0.025400000000000002,0.0294
65,Charl Schwartzel,-0.0085,0.041400000000000006,0.025900000000000003
66,Charles Howell III,0.0975,-0.0387,0.10700000000000001
67,Charley Hoffman,0.11980000000000002,0.18870000000000003,-0.048900000000000006
68,Chase Seiffert,0.0108,0.019,-0.031200000000000002
69,Chase Wright,0.0013,-0.006900000000000001,-0.0313
70,Chesson Hadley,-0.038,0.12380000000000001,-0.0781
71,Chez Reavie,0.0606,0.23820000000000002,-0.011800000000000008
72,Chris Baker,0.0533,0.005600000000000001,-0.0164
73,Chris Kirk,-0.024399999999999998,0.09330000000000002,0.051800000000000006
74,Chris Stroud,-0.13180000000000003,-0.030600000000000006,-0.0014000000000000002
75,Cody Gribble,-0.09240000000000001,-0.1709,-0.036500000000000005
76,Collin Morikawa,0.07210000000000001,0.2054,0.0082
77,Conrad Shindler,0.0114,-0.0008,-0.0252
78,Corey Conners,0.2379,0.222,-0.0669
79,Curtis Luck,-0.05460000000000001,-0.0847,-0.015700000000000002
80,D.A. Points,-0.1505,-0.01200000000000001,0.0138
81,D.J. Trahan,-0.0198,-0.0039000000000000024,-0.004799999999999999
82,Daniel Berger,0.1356,0.23500000000000001,-0.0009999999999999974
83,Daniel Summerhays,-0.10270000000000001,-0.16480000000000003,-0.022600000000000002
84,Danny Lee,0.0446,0.0665,-0.08990000000000001
