,PLAYER NAME,par5
196,Kyle Reifers,4.68
197,Kyle Stanley,4.66
198,Kyle Thompson,4.79
199,Lanto Griffin,4.593333333333334
200,Lee Westwood,4.73
201,Louis Oosthuizen,4.640000000000001
202,Lucas Glover,4.640000000000001
203,Luke Donald,4.715000000000001
204,Luke Guthrie,4.699999999999999
205,Luke List,4.555000000000001
206,Mackenzie Hughes,4.648
207,Marc Leishman,4.634285714285714
208,Mark Anderson,4.696666666666666
209,Mark Hubbard,4.636
210,Mark Wilson,4.73
211,Martin Flores,4.670000000000001
212,Martin Laird,4.635714285714285
213,Martin Piller,4.705
214,Martin Trainer,4.71
215,Matt Atkins,4.72
216,Matt Every,4.695
217,Matt Fitzpatrick,4.61
218,Matt Jones,4.6
219,Matt Kuchar,4.61
220,Matt Wallace,4.62
221,Matthew NeSmith,4.609999999999999
222,Matthew Wolff,4.609999999999999
223,Maverick McNealy,4.625
224,Max Homa,4.6125
225,Michael Gellerman,4.725
226,Michael Gligic,4.619999999999999
227,Michael Kim,4.732
228,Michael Putnam,4.68
229,Michael Thompson,4.658571428571428
230,Miguel Angel Carballo,4.72
231,Morgan Hoffmann,4.633333333333334
232,Nate Lashley,4.6175
233,Nelson Ledesma,4.665
234,Nicholas Lindheim,4.745
235,Nicholas Thompson,4.76
236,Nick Taylor,4.635714285714286
237,Nick Watney,4.665
238,Ollie Schniederjans,4.636666666666667
239,Oscar Fraustro,4.73
240,Padraig Harrington,4.725
241,Pat Perez,4.631666666666667
242,Patrick Cantlay,4.532
243,Patrick Reed,4.5928571428571425
244,Patrick Rodgers,4.638571428571429
245,Patton Kizzire,4.658333333333333
246,Paul Casey,4.581428571428572
247,Peter Malnati,4.691666666666666
248,Peter Uihlein,4.623333333333334
249,Phil Mickelson,4.631428571428572
250,Rafa Cabrera Bello,4.694
251,Rafael Campos,4.66
252,Retief Goosen,4.7425
253,Rhein Gibson,4.726666666666667
254,Richy Werenski,4.656000000000001
255,Rick Lamb,4.66
256,Rickie Fowler,4.59857142857143
257,Ricky Barnes,4.67
258,Rob Oppenheim,4.6625000000000005
259,Robby Shelton,4.665
260,Robert Allenby,4.805
261,Robert Garrigus,4.68
262,Robert Streb,4.678571428571429
263,Roberto Castro,4.6625
264,Roberto Díaz,4.66
265,Rod Pampling,4.76
266,Roger Sloan,4.655
267,Rory McIlroy,4.5249999999999995
268,Rory Sabbatini,4.6257142857142854
269,Russell Henley,4.655714285714285
270,Russell Knox,4.672857142857143
271,Ryan Armour,4.654000000000001
272,Ryan Blaum,4.653333333333333
273,Ryan Brehm,4.6066666666666665
274,Ryan Moore,4.651666666666667
275,Ryan Palmer,4.590000000000001
276,Ryo Ishikawa,4.73
277,Sam Burns,4.546666666666667
278,Sam Ryder,4.635
279,Sam Saunders,4.658
280,Sangmoon Bae,4.655
281,Satoshi Kodaira,4.760000000000001
282,Scott Brown,4.672857142857143
283,Scott Harrington,4.665
284,Scott Langley,4.656666666666666
285,Scott Piercy,4.638571428571429
286,Scott Pinckney,4.6850000000000005
287,Scott Stallings,4.652857142857143
288,Scottie Scheffler,4.55
289,Seamus Power,4.596
290,Sean O'Hair,4.66
291,Sebastian Cappelen,4.705
292,Sebastián Muñoz,4.625
293,Sepp Straka,4.626666666666666
294,Sergio Garcia,4.590000000000001
295,Seth Reeves,4.57
296,Seung-Yul Noh,4.66
297,Shane Lowry,4.6819999999999995
298,Shawn Stefani,4.642
299,Si Woo Kim,4.655
300,Smylie Kaufman,4.645
301,Spencer Levin,4.703333333333333
302,Stephan Jaeger,4.575
303,Steve Marino,4.76
304,Steve Stricker,4.63
305,Steve Wheatcroft,4.6775
306,Steven Alker,4.695
307,Steven Bowditch,4.823333333333333
308,Stewart Cink,4.6499999999999995
309,Stuart Appleby,4.64
310,Sung Joon Park,4.7
311,Sung Kang,4.668333333333334
312,Sungjae Im,4.54
313,Søren Kjeldsen,4.74
314,Tag Ridings,4.71
315,Talor Gooch,4.619999999999999
316,Ted Potter Jr.,4.6925
317,Thomas Aiken,4.67
318,Tiger Woods,4.57
319,Tim Wilkinson,4.702500000000001
320,Tom Hoge,4.678571428571429
321,Tom Lewis,4.66
322,Tom Lovelady,4.57
323,Tommy Fleetwood,4.6375
324,Tony Finau,4.561428571428571
325,Trey Mullinax,4.623333333333333
326,Troy Merritt,4.675714285714286
327,Tyler Aldridge,4.72
328,Tyler Duncan,4.6625
329,Tyler McCumber,4.635
330,Tyrone Van Aswegen,4.7275
331,Tyrrell Hatton,4.65
332,Vaughn Taylor,4.673333333333334
333,Vijay Singh,4.66
334,Viktor Hovland,4.57
335,Vincent Whaley,4.6
336,Webb Simpson,4.572857142857143
337,Wes Roach,4.63
338,Wesley Bryan,4.74
339,Whee Kim,4.691999999999999
340,Will Gordon,4.615
341,Will MacKenzie,4.78
342,Will Wilcox,4.665
343,Will Zalatoris,4.53
344,William McGirt,4.685
345,Wyndham Clark,4.546666666666667
346,Xander Schauffele,4.5280000000000005
347,Xinjun Zhang,4.666666666666667
348,Zac Blair,4.696
349,Zach Johnson,4.664285714285714
350,Zack Sucher,4.7
351,Zecheng Dou,4.8
352,Ángel Cabrera,4.705
