,PLAYER NAME,Par3
193,Kramer Hickok,3.0933333333333333
194,Kris Ventura,3.13
195,Kyle Jones,3.09
196,Kyle Reifers,3.0799999999999996
197,Kyle Stanley,3.061666666666667
198,Kyle Thompson,3.16
199,Lanto Griffin,3.06
200,Lee Westwood,3.0949999999999998
201,Louis Oosthuizen,3.058571428571429
202,Lucas Glover,3.067142857142857
203,Luke Donald,3.0424999999999995
204,Luke Guthrie,3.035
205,Luke List,3.063333333333333
206,Mackenzie Hughes,3.0460000000000003
207,Marc Leishman,3.027142857142857
208,Mark Anderson,3.0199999999999996
209,Mark Hubbard,3.048
210,Mark Wilson,3.04
211,Martin Flores,3.033333333333333
212,Martin Laird,3.0357142857142856
213,Martin Piller,3.11
214,Martin Trainer,3.2300000000000004
215,Matt Atkins,3.11
216,Matt Every,3.1525
217,Matt Fitzpatrick,3.08
218,Matt Jones,3.077142857142857
219,Matt Kuchar,3.0585714285714287
220,Matt Wallace,3.115
221,Matthew NeSmith,3.05
222,Matthew Wolff,3.09
223,Maverick McNealy,3.03
224,Max Homa,3.05
225,Michael Gellerman,3.0300000000000002
226,Michael Gligic,3.0949999999999998
227,Michael Kim,3.07
228,Michael Putnam,3.01
229,Michael Thompson,3.0371428571428574
230,Miguel Angel Carballo,3.06
231,Morgan Hoffmann,3.1199999999999997
232,Nate Lashley,3.0524999999999998
233,Nelson Ledesma,3.12
234,Nicholas Lindheim,2.995
235,Nicholas Thompson,3.05
236,Nick Taylor,3.055714285714285
237,Nick Watney,3.0500000000000003
238,Ollie Schniederjans,3.0666666666666664
239,Oscar Fraustro,3.1
240,Padraig Harrington,3.105
241,Pat Perez,3.035
242,Patrick Cantlay,3.032
243,Patrick Reed,3.0542857142857143
244,Patrick Rodgers,3.0728571428571425
245,Patton Kizzire,3.035
246,Paul Casey,3.044285714285714
247,Peter Malnati,3.043333333333333
248,Peter Uihlein,3.0666666666666664
249,Phil Mickelson,3.064285714285714
250,Rafa Cabrera Bello,3.076
251,Rafael Campos,3.14
252,Retief Goosen,3.0349999999999997
253,Rhein Gibson,3.0500000000000003
254,Richy Werenski,3.03
255,Rick Lamb,3.09
256,Rickie Fowler,3.02
257,Ricky Barnes,3.0075000000000003
258,Rob Oppenheim,3.0524999999999998
259,Robby Shelton,3.09
260,Robert Allenby,3.12
261,Robert Garrigus,3.0425
262,Robert Streb,3.045714285714286
263,Roberto Castro,3.0725000000000002
264,Roberto Díaz,3.08
265,Rod Pampling,3.0875
266,Roger Sloan,3.075
267,Rory McIlroy,3.0400000000000005
268,Rory Sabbatini,3.065714285714286
269,Russell Henley,3.03
270,Russell Knox,3.0385714285714287
271,Ryan Armour,3.0160000000000005
272,Ryan Blaum,3.0366666666666666
273,Ryan Brehm,3.0666666666666664
274,Ryan Moore,3.0416666666666665
275,Ryan Palmer,3.077142857142857
276,Ryo Ishikawa,3.0949999999999998
